vOTU	MI02	MI09	MI13	MI20	MII02	MII09	MII13	MII20	MIII02	MIII09	MIII13	MIII20
vsNODE117_02	11692	874	0	0	11640	0	0	0	12215	1649	0	0
vsNODE118_01	30865	4009	0	0	32368	5081	0	0	31426	6952	0	0
vsNODE119_01	15149	1301	0	0	16105	1945	0	0	15291	3216	0	0
vsNODE120_01	41081	2190	0	1101	45238	3693	0	918	45825	4836	0	0
vsNODE124_01	0	0	6859	10220	0	0	7428	10554	0	0	7504	10089
vsNODE124_02	0	0	952	4791	0	0	877	3513	0	0	0	3647
vsNODE128_01	0	8775	0	0	0	7915	0	0	0	6686	0	0
vsNODE128_02	0	0	1478	5087	0	0	1503	5577	0	0	1824	6558
vsNODE131_02	0	0	2932	2888	0	0	3869	3003	0	0	4677	2973
vsNODE137_01	118283	8050	0	0	121489	11914	0	0	114915	18754	0	0
vsNODE138_01	14449	15481	0	0	15206	13627	0	0	12699	16646	0	0
vsNODE139_01	0	0	920	5512	0	0	904	4412	0	0	1003	4660
vsNODE14_01	0	2781	0	0	0	3328	0	0	0	3561	0	0
vsNODE14_02	0	0	1790	6045	0	0	4109	7124	0	0	4627	20558
vsNODE142_01	0	0	4103	10072	0	0	4195	11177	0	0	4391	10531
vsNODE143_01	0	0	1253	4001	0	0	2078	4374	0	0	2445	12085
vsNODE143_02	5102	0	0	0	3973	0	0	0	4779	1752	0	0
vsNODE145_01	0	0	2726	2477	0	0	2932	2389	0	0	2065	2180
vsNODE145_02	0	3425	0	0	0	3657	0	0	0	4294	0	0
vsNODE146_01	0	0	6238	12298	0	0	5486	10643	0	0	6596	10379
vsNODE149_01	0	8531	0	0	0	5669	0	0	0	5882	0	0
vsNODE152_01	0	0	10229	19059	0	0	9047	15060	0	0	14160	10573
vsNODE153_01	0	4954	0	0	0	6082	0	0	0	6587	0	0
vsNODE155_01	13032	1340	0	0	14046	2195	0	0	14505	3543	0	0
vsNODE156_01	0	6772	0	0	0	6048	0	0	0	6389	0	0
vsNODE156_02	0	0	1984	3382	0	0	1887	3385	0	0	1815	3025
vsNODE157_01	0	2932	0	0	0	3944	0	0	0	5285	0	0
